playerID,yearID,stint,teamID.x,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,nameFirst,nameLast,teamID.y,bats,throws
abadfe01,2016,2,BOS,AL,P,18,0,38,0,1,0,0,NA,NA,NA,NA,NA,Fernando,Abad,BOS,L,L
barnema01,2016,1,BOS,AL,P,62,0,200,2,6,0,0,NA,NA,NA,NA,NA,Matt,Barnes,BOS,R,R
beninan01,2016,1,BOS,AL,OF,32,30,785,55,0,1,0,NA,NA,NA,NA,NA,Andrew,Benintendi,BOS,L,L
bettsmo01,2016,1,BOS,AL,OF,157,157,4145,346,14,1,4,NA,NA,NA,NA,NA,Mookie,Betts,BOS,R,R
bogaexa01,2016,1,BOS,AL,SS,157,157,4136,195,355,12,73,NA,NA,NA,NA,NA,Xander,Bogaerts,BOS,R,R
bradlja02,2016,1,BOS,AL,OF,156,155,4127,365,13,3,3,NA,NA,NA,NA,NA,Jackie,Bradley,BOS,L,R
brentbr01,2016,1,BOS,AL,OF,22,17,429,25,1,1,0,NA,NA,NA,NA,NA,Bryce,Brentz,BOS,R,R
buchhcl01,2016,1,BOS,AL,P,37,21,418,9,6,1,0,NA,NA,NA,NA,NA,Clay,Buchholz,BOS,L,R
castiru01,2016,1,BOS,AL,OF,4,2,60,6,0,0,0,NA,NA,NA,NA,NA,Rusney,Castillo,BOS,R,R
cuevawi01,2016,1,BOS,AL,P,3,0,15,0,1,0,0,NA,NA,NA,NA,NA,William,Cuevas,BOS,R,R
eliasro01,2016,1,BOS,AL,P,3,1,23,0,2,0,0,NA,NA,NA,NA,NA,Roenis,Elias,BOS,L,L
hanigry01,2016,1,BOS,AL,C,34,30,792,258,26,0,3,18,NA,18,7,NA,Ryan,Hanigan,BOS,R,R
hembrhe01,2016,1,BOS,AL,P,38,0,153,2,7,1,0,NA,NA,NA,NA,NA,Heath,Hembree,BOS,R,R
hernama02,2016,1,BOS,AL,2B,14,3,135,9,12,1,4,NA,NA,NA,NA,NA,Marco,Hernandez,BOS,L,R
hernama02,2016,1,BOS,AL,3B,10,6,177,5,10,1,4,NA,NA,NA,NA,NA,Marco,Hernandez,BOS,L,R
hernama02,2016,1,BOS,AL,SS,2,1,30,0,2,0,0,NA,NA,NA,NA,NA,Marco,Hernandez,BOS,L,R
hillaa01,2016,2,BOS,AL,2B,4,0,48,1,5,0,1,NA,NA,NA,NA,NA,Aaron,Hill,BOS,R,R
hillaa01,2016,2,BOS,AL,3B,44,30,826,19,53,3,7,NA,NA,NA,NA,NA,Aaron,Hill,BOS,R,R
holadbr01,2016,2,BOS,AL,3B,1,0,3,0,1,0,1,NA,NA,NA,NA,NA,Bryan,Holaday,BOS,R,R
holadbr01,2016,2,BOS,AL,C,13,10,254,76,10,1,2,0,NA,3,3,NA,Bryan,Holaday,BOS,R,R
holtbr01,2016,1,BOS,AL,2B,8,4,132,10,11,0,1,NA,NA,NA,NA,NA,Brock,Holt,BOS,L,R
holtbr01,2016,1,BOS,AL,3B,17,11,279,10,29,2,3,NA,NA,NA,NA,NA,Brock,Holt,BOS,L,R
holtbr01,2016,1,BOS,AL,OF,68,57,1507,107,6,2,2,NA,NA,NA,NA,NA,Brock,Holt,BOS,L,R
holtbr01,2016,1,BOS,AL,SS,7,4,123,6,12,0,1,NA,NA,NA,NA,NA,Brock,Holt,BOS,L,R
kellyjo05,2016,1,BOS,AL,P,20,6,120,2,3,1,0,NA,NA,NA,NA,NA,Joe,Kelly,BOS,R,R
kimbrcr01,2016,1,BOS,AL,P,57,0,159,0,2,0,0,NA,NA,NA,NA,NA,Craig,Kimbrel,BOS,R,R
lamarry01,2016,1,BOS,AL,OF,3,1,42,3,0,0,0,NA,NA,NA,NA,NA,Ryan,LaMarre,BOS,R,L
lamarry01,2016,1,BOS,AL,P,1,0,3,0,0,0,0,NA,NA,NA,NA,NA,Ryan,LaMarre,BOS,R,L
layneto01,2016,1,BOS,AL,P,34,0,86,3,5,1,1,NA,NA,NA,NA,NA,Tommy,Layne,BOS,L,L
leonsa01,2016,1,BOS,AL,C,74,67,1801,561,35,1,6,7,NA,20,14,NA,Sandy,Leon,BOS,B,R
lightpa01,2016,1,BOS,AL,P,2,0,8,0,0,0,0,NA,NA,NA,NA,NA,Pat,Light,BOS,R,R
marrede01,2016,1,BOS,AL,2B,6,2,54,2,5,1,1,NA,NA,NA,NA,NA,Deven,Marrero,BOS,R,R
marrede01,2016,1,BOS,AL,3B,4,1,51,0,5,0,0,NA,NA,NA,NA,NA,Deven,Marrero,BOS,R,R
marrede01,2016,1,BOS,AL,SS,4,0,21,1,0,0,0,NA,NA,NA,NA,NA,Deven,Marrero,BOS,R,R
martimi02,2016,2,BOS,AL,OF,2,1,39,5,0,0,0,NA,NA,NA,NA,NA,Michael,Martinez,BOS,B,R
martimi02,2016,2,BOS,AL,SS,1,0,6,0,0,0,0,NA,NA,NA,NA,NA,Michael,Martinez,BOS,B,R
millemi01,2016,1,BOS,AL,2B,1,0,3,0,0,0,0,NA,NA,NA,NA,NA,Mike,Miller,BOS,R,R
moncayo01,2016,1,BOS,AL,3B,5,4,105,2,12,1,0,NA,NA,NA,NA,NA,Yoan,Moncada,BOS,B,R
ortizda01,2016,1,BOS,AL,1B,1,1,15,5,0,0,0,NA,NA,NA,NA,NA,David,Ortiz,BOS,L,L
osullse01,2016,1,BOS,AL,P,5,4,64,0,2,1,0,NA,NA,NA,NA,NA,Sean,O'Sullivan,BOS,R,R
owenshe02,2016,1,BOS,AL,P,5,5,66,0,0,0,0,NA,NA,NA,NA,NA,Henry,Owens,BOS,L,L
pedrodu01,2016,1,BOS,AL,2B,152,151,3878,245,362,6,98,NA,NA,NA,NA,NA,Dustin,Pedroia,BOS,R,R
pomerdr01,2016,2,BOS,AL,P,14,13,206,0,7,1,0,NA,NA,NA,NA,NA,Drew,Pomeranz,BOS,R,L
porceri01,2016,1,BOS,AL,P,33,33,669,6,15,1,0,NA,NA,NA,NA,NA,Rick,Porcello,BOS,R,R
